participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P15,arousal,2,5,89,23,23,89,svm,paper_compact,frontal_central,10,secondary,32,3,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.65625,0.4782608695652174,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,frontal_central,10,secondary,32,1,"{""classifier__var_smoothing"": 1e-11}",0.39444444444444443,0.5833333333333334,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,frontal_central,10,secondary,32,2,"{""classifier__var_smoothing"": 1e-11}",0.5201388888888889,0.3958333333333333,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,frontal_central,10,secondary,32,3,"{""classifier__var_smoothing"": 1e-11}",0.4583333333333333,0.45289855072463764,False
P15,arousal,3,5,90,22,23,89,logreg,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.6458333333333334,0.4627329192546584,False
P15,arousal,3,5,90,22,23,89,logreg,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.4388888888888889,0.4583333333333333,False
P15,arousal,3,5,90,22,23,89,logreg,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5847222222222223,0.5416666666666667,False
P15,arousal,3,5,90,22,23,89,svm,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6458333333333334,0.4782608695652174,False
P15,arousal,3,5,90,22,23,89,svm,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5333333333333333,0.5,False
P15,arousal,3,5,90,22,23,89,svm,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.6062500000000001,0.5208333333333334,False
P15,arousal,3,5,90,22,23,89,gnb,all_eeg,all_channels,8,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.5729166666666666,0.5838509316770186,False
P15,arousal,3,5,90,22,23,89,gnb,all_eeg,all_channels,8,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.4791666666666667,0.41666666666666663,False
P15,arousal,3,5,90,22,23,89,gnb,all_eeg,all_channels,8,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.5527777777777777,0.4583333333333333,False
P15,arousal,3,5,90,22,23,89,logreg,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.6041666666666666,0.484472049689441,False
P15,arousal,3,5,90,22,23,89,logreg,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.44930555555555557,0.47916666666666663,False
P15,arousal,3,5,90,22,23,89,logreg,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5951388888888889,0.5,False
P15,arousal,3,5,90,22,23,89,svm,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.6458333333333334,0.4782608695652174,False
P15,arousal,3,5,90,22,23,89,svm,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5222222222222223,0.5,False
P15,arousal,3,5,90,22,23,89,svm,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.61875,0.5416666666666666,False
P15,arousal,3,5,90,22,23,89,gnb,all_eeg,all_channels,10,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.53125,0.391304347826087,False
P15,arousal,3,5,90,22,23,89,gnb,all_eeg,all_channels,10,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.44861111111111107,0.375,False
P15,arousal,3,5,90,22,23,89,gnb,all_eeg,all_channels,10,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.48819444444444443,0.4375,False
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.625,0.577639751552795,False
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5326388888888889,0.5,False
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.6062500000000001,0.5,False
P15,arousal,3,5,90,22,23,89,svm,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6145833333333334,0.4782608695652174,False
P15,arousal,3,5,90,22,23,89,svm,paper_compact,all_channels,8,secondary,64,2,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5333333333333333,0.5,False
P15,arousal,3,5,90,22,23,89,svm,paper_compact,all_channels,8,secondary,64,3,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5944444444444444,0.5416666666666666,False
P15,arousal,3,5,90,22,23,89,gnb,paper_compact,all_channels,8,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.5833333333333334,0.562111801242236,False
